"car_ID","symboling","CarName","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","price","hp_to_weight","segment","CarBrand","BrandAvgPrice"
"132",2,"renault 5 gtl","gas","std","two","hatchback","fwd","front",96.1,176.8,66.6,50.5,2460,"ohc","four",132,"mpfi",3.46,3.86,8.7,90,5100,23,9895,0.0365853658536585,"Standard","renault",9595
"134",2,"saab 99le","gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2695,"ohc","four",121,"mpfi",3.54,3.07,9.3,110,5250,21,12170,0.0408163265306122,"Standard","saab",15898
"135",3,"saab 99le","gas","std","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2707,"ohc","four",121,"mpfi",2.54,2.66,9.3,110,5250,21,15040,0.0406353897303288,"Luxury","saab",15898
"136",2,"saab 99gle","gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2758,"ohc","four",121,"mpfi",3.54,3.07,9.3,110,5250,21,15510,0.0398839738941262,"Luxury","saab",15898
"137",3,"saab 99gle","gas","turbo","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2808,"dohc","four",121,"mpfi",3.54,3.07,9,160,5500,19,18150,0.056980056980057,"Luxury","saab",15898
"138",2,"saab 99e","gas","turbo","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2847,"dohc","four",121,"mpfi",3.54,3.07,9,160,5500,19,18620,0.0561995082543028,"Luxury","saab",15898
"139",2,"subaru","unknown","std","two","flyingcar","fwd","front",93.7,156.9,63.4,53.7,2050,"ohcf","four",25,"2bbl",3.62,2.66,10.6,1,4900,31,-1000,0.00048780487804878,"Economy","subaru",6816.6
"140",2,"subaru dl","unknown","std","two","flyingcar","fwd","front",93.7,157.9,63.6,53.7,2120,"ohcf","four",25,"2bbl",3.62,2.66,10.6,1,4400,26,-1000,0.000471698113207547,"Economy","subaru",6816.6
"141",2,"subaru dl","gas","std","two","hatchback","4wd","front",96.95,157.3,63.8,55.7,2240,"ohcf","four",108,"2bbl",3.62,2.66,8.7,73,4400,26,7603,0.0325892857142857,"Economy","subaru",6816.6
"142",0,"subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2145,"ohcf","four",108,"2bbl",3.62,2.66,9.5,82,4800,32,7126,0.0382284382284382,"Economy","subaru",6816.6
"143",0,"subaru brz","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2190,"ohcf","four",108,"2bbl",3.62,2.66,9.5,82,4400,28,7775,0.0374429223744292,"Economy","subaru",6816.6
"145",0,"subaru r1","gas","std","four","sedan","4wd","front",97,172,65.4,54.3,2385,"ohcf","four",108,"2bbl",3.62,2.66,9,82,4800,24,9233,0.0343815513626834,"Standard","subaru",6816.6
"146",0,"subaru r2","gas","turbo","four","sedan","4wd","front",97,172,65.4,54.3,2510,"ohcf","four",108,"mpfi",3.62,2.66,7.7,111,4800,24,11259,0.0442231075697211,"Standard","subaru",6816.6
"147",0,"subaru trezia","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2290,"ohcf","four",108,"2bbl",3.62,2.66,9,82,4800,28,7463,0.0358078602620087,"Economy","subaru",6816.6
"149",0,"subaru dl","gas","std","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2420,"ohcf","four",108,"2bbl",3.62,2.66,9,82,4800,23,8013,0.0338842975206612,"Standard","subaru",6816.6
"150",0,"subaru dl","gas","turbo","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2650,"ohcf","four",108,"mpfi",3.62,2.66,7.7,111,4800,23,11694,0.0418867924528302,"Standard","subaru",6816.6
"151",1,"toyota corona mark ii","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,1985,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,35,5348,0.0312342569269521,"Economy","toyota",9005.59259259259
"152",1,"toyota corona","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,2040,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,6338,0.0303921568627451,"Economy","toyota",9005.59259259259
"154",0,"toyota corona hardtop","gas","std","four","wagon","fwd","front",96.95,169.7,63.6,59.1,2280,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,6918,0.0271929824561404,"Economy","toyota",9005.59259259259
"155",0,"toyota corolla 1600 (sw)","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,2290,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,7898,0.0270742358078603,"Economy","toyota",9005.59259259259
"156",0,"toyota carina","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,3110,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,8778,0.019935691318328,"Standard","toyota",9005.59259259259
"157",0,"toyota mark ii","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2081,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,30,6938,0.0336376741950985,"Economy","toyota",9005.59259259259
"158",0,"toyota corolla 1200","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2109,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,30,7198,0.0331910858226648,"Economy","toyota",9005.59259259259
"159",0,"toyota corona","unknown","std","four","flyingcar","fwd","front",95.7,166.3,64.4,53,2275,"ohc","four",25,"idi",3.27,3.35,10.6,1,4500,34,-1000,0.00043956043956044,"Economy","toyota",9005.59259259259
"161",0,"toyota corona","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2094,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,38,7738,0.0334288443170965,"Economy","toyota",9005.59259259259
"162",0,"toyota corolla","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2122,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,28,8358,0.0329877474081056,"Standard","toyota",9005.59259259259
"164",1,"toyota corolla liftback","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2169,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,29,8058,0.0322729368372522,"Standard","toyota",9005.59259259259
"166",1,"toyota celica gt liftback","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2265,"dohc","four",98,"mpfi",3.24,3.08,9.4,112,6550,26,9298,0.049448123620309,"Standard","toyota",9005.59259259259
"167",1,"toyota corolla tercel","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2300,"dohc","four",98,"mpfi",3.24,3.08,9.4,112,6550,26,9538,0.048695652173913,"Standard","toyota",9005.59259259259
"168",2,"toyota corona liftback","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2540,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,8449,0.0456692913385827,"Standard","toyota",9005.59259259259
"169",2,"toyota corolla","unknown","std","two","flyingcar","rwd","front",98.4,176.2,65.6,52,2536,"ohc","four",25,"mpfi",3.62,3.5,10.6,1,4800,24,-1000,0.000394321766561514,"Economy","toyota",9005.59259259259
"170",2,"toyota starlet","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2551,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,9989,0.0454723637789102,"Standard","toyota",9005.59259259259
"171",2,"toyota tercel","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2679,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,11199,0.0432997387084733,"Standard","toyota",9005.59259259259
"172",2,"toyota corolla","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2714,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,11549,0.0427413411938099,"Standard","toyota",9005.59259259259
"173",2,"toyota cressida","gas","std","two","convertible","rwd","front",98.4,176.2,65.6,53,2975,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,17669,0.0389915966386555,"Luxury","toyota",9005.59259259259
"174",-1,"toyota corolla","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2326,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,29,8948,0.0395528804815133,"Standard","toyota",9005.59259259259
"175",-1,"toyota celica gt","diesel","turbo","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2480,"ohc","four",110,"idi",3.27,3.35,10.6,73,4500,30,10698,0.0294354838709677,"Standard","toyota",9005.59259259259
"177",-1,"toyota corolla","unknown","std","four","flyingcar","fwd","front",102.4,175.6,66.5,54.9,2414,"ohc","four",25,"mpfi",3.31,3.54,10.6,1,4200,27,-1000,0.000414250207125104,"Economy","toyota",9005.59259259259
"178",-1,"toyota mark ii","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2458,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,27,11248,0.0374288039056143,"Standard","toyota",9005.59259259259
"179",3,"toyota corolla liftback","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,2976,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,20,16558,0.0540994623655914,"Luxury","toyota",9005.59259259259
"180",3,"toyota corona","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,3016,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,19,15998,0.0533819628647215,"Luxury","toyota",9005.59259259259
"181",-1,"toyota starlet","gas","std","four","sedan","rwd","front",104.5,187.8,66.5,54.1,3131,"dohc","six",171,"mpfi",3.27,3.35,9.2,156,5200,20,15690,0.0498243372724369,"Luxury","toyota",9005.59259259259
"182",-1,"toyouta tercel","gas","std","four","wagon","rwd","front",104.5,187.8,66.5,54.1,3151,"dohc","six",161,"mpfi",3.27,3.35,9.2,156,5200,19,15750,0.049508092668994,"Luxury","toyota",9005.59259259259
"184",2,"volkswagen 1131 deluxe sedan","gas","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2209,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,7975,0.0384789497510186,"Economy","volkswagen",9986
"185",2,"volkswagen model 111","diesel","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2264,"ohc","four",97,"idi",3.01,3.4,10.6,52,4800,37,7995,0.0229681978798587,"Economy","volkswagen",9986
"186",2,"volkswagen type 3","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2212,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,8195,0.0384267631103074,"Standard","volkswagen",9986
"187",2,"volkswagen 411 (sw)","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2275,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,8495,0.0373626373626374,"Standard","volkswagen",9986
"188",2,"volkswagen super beetle","diesel","turbo","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2319,"ohc","four",97,"idi",3.01,3.4,10.6,68,4500,37,9495,0.0293229840448469,"Standard","volkswagen",9986
"189",2,"volkswagen dasher","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2300,"ohc","four",109,"mpfi",3.19,3.4,10,100,5500,26,9995,0.0434782608695652,"Standard","volkswagen",9986
"190",3,"vw dasher","gas","std","two","convertible","fwd","front",94.5,159.3,64.2,55.6,2254,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,11595,0.0399290150842946,"Standard","volkswagen",9986
"191",3,"vw rabbit","gas","std","two","hatchback","fwd","front",94.5,165.7,64,51.4,2221,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,9980,0.0405222872579919,"Standard","volkswagen",9986
"193",0,"volkswagen rabbit custom","diesel","turbo","four","sedan","fwd","front",100.4,180.2,66.9,55.1,2579,"ohc","four",97,"idi",3.01,3.4,10.6,68,4500,33,13845,0.0263668088406359,"Luxury","volkswagen",9986
"194",0,"volkswagen dasher","gas","std","four","wagon","fwd","front",100.4,183.1,66.9,55.1,2563,"ohc","four",109,"mpfi",3.31,3.4,9,88,5500,25,12290,0.0343347639484979,"Standard","volkswagen",9986
"195",-2,"volvo 145e (sw)","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2912,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,12940,0.0391483516483516,"Standard","volvo",14293.1818181818
"196",-1,"volvo 144ea","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3034,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,13415,0.037574159525379,"Standard","volvo",14293.1818181818
"197",-2,"volvo 244dl","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2935,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,15985,0.0388415672913118,"Luxury","volvo",14293.1818181818
"198",-1,"volvo 245","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3042,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,16515,0.0374753451676529,"Luxury","volvo",14293.1818181818
"199",-2,"volvo 264gl","gas","turbo","four","sedan","rwd","front",104.3,188.8,67.2,56.2,3045,"ohc","four",130,"mpfi",3.62,3.15,7.5,162,5100,17,18420,0.0532019704433498,"Luxury","volvo",14293.1818181818
"200",-1,"volvo diesel","gas","turbo","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3157,"ohc","four",130,"mpfi",3.62,3.15,7.5,162,5100,17,18950,0.0513145391194172,"Luxury","volvo",14293.1818181818
"201",-1,"volvo 145e (sw)","unknown","std","four","flyingcar","rwd","front",109.1,188.8,68.9,55.5,2952,"ohc","four",25,"mpfi",3.78,3.15,10.6,1,5400,23,-1000,0.000338753387533875,"Economy","volvo",14293.1818181818
"202",-1,"volvo 144ea","gas","turbo","four","sedan","rwd","front",109.1,188.8,68.8,55.5,3049,"ohc","four",141,"mpfi",3.78,3.15,8.7,160,5300,19,19045,0.0524762217120367,"Luxury","volvo",14293.1818181818
"203",-1,"volvo 244dl","gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3012,"ohcv","six",173,"mpfi",3.58,2.87,8.8,134,5500,18,21485,0.0444887118193891,"Luxury","volvo",14293.1818181818
"204",-1,"volvo 246","diesel","turbo","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3217,"ohc","six",145,"idi",3.01,3.4,10.6,106,4800,26,22470,0.0329499533727075,"Luxury","volvo",14293.1818181818
"205",-1,"volvo 264gl","unknown","turbo","four","flyingcar","rwd","front",109.1,188.8,68.9,55.5,3062,"ohc","four",25,"mpfi",3.78,3.15,10.6,1,5400,19,-1000,0.000326583932070542,"Economy","volvo",14293.1818181818
